hp,end_time,time,mae,rmse
,2025-07-14-13:57:52,0.16,4.596379180749257,10.177706440289816
,2025-07-14-14:06:27,0.16,4.577437400817871,9.95757500330607
,2025-07-14-14:12:02,1.39,4.86642603079478,7.292375127474467
,2025-07-14-14:12:27,1.4,5.675037503242493,9.532550891240438
,2025-07-14-14:12:56,1.39,5.4051185846328735,9.266440153121948
,2025-07-14-14:27:01,1.43,5.4051185846328735,9.266440153121948
,2025-07-14-14:27:35,1.49,5.4051185846328735,9.266440153121948
