hp,end_time,time,mae,rmse
,2025-07-14-14:07:09,1.37,4.23439492781957,7.624474585056305
,2025-07-14-14:09:23,1.41,4.7151831189791364,8.976263244946798
,2025-07-14-14:11:09,0.16,3.7746529976526895,7.676420489947001
